"","location","type.name","player.name","shot.outcome.name"
"421","102, 40","Shot","Luis Alberto Suárez Díaz","Wayward"
"422","94, 21","Shot","Yasir Gharsan Al Shahrani","Blocked"
"423","111, 47","Shot","Mohammed Kanoo","Saved"
"424","98, 24","Shot","Yasir Gharsan Al Shahrani","Blocked"
"425","109, 27","Shot","Ivan Perišić","Saved"
"426","104, 41","Shot","Maximiliano Eduardo Meza","Blocked"
"427","87, 35","Shot","Marcelo Brozović","Blocked"
"428","106, 33","Shot","Enzo Nicolás Pérez","Off T"
"429","115, 34","Shot","Mario Mandžukić","Off T"
"430","99, 34","Shot","Ante Rebić","Off T"
"431","96, 28","Shot","Marcos Javier Acuña","Blocked"
"432","111, 29","Shot","Sergio Leonel Agüero del Castillo","Saved"
"433","108, 30","Shot","Ante Rebić","Goal"
"434","113, 34","Shot","Maximiliano Eduardo Meza","Saved"
"435","117, 36","Shot","Lionel Andrés Messi Cuccittini","Blocked"
"436","109, 43","Shot","Nicolás Hernán Otamendi","Off T"
"437","115, 49","Shot","Mario Mandžukić","Off T"
"438","107, 59","Shot","Paulo Bruno Exequiel Dybala","Off T"
"439","103, 24","Shot","Ivan Rakitić","Blocked"
"440","93, 45","Shot","Luka Modrić","Goal"
"441","100, 27","Shot","Gonzalo Gerardo Higuaín","Saved"
"442","89, 36","Shot","Ivan Rakitić","Post"
"443","103, 34","Shot","Mateo Kovačić","Off T"
"444","99, 50","Shot","Mario Mandžukić","Blocked"
"445","87, 54","Shot","Luka Modrić","Off T"
"446","108, 31","Shot","Maximiliano Eduardo Meza","Blocked"
"447","98, 38","Shot","Ivan Rakitić","Saved"
"448","112, 40","Shot","Ivan Rakitić","Goal"
"449","96, 43","Shot","Édison Michael Flores Peralta","Blocked"
"450","62, 36","Shot","Víctor Yoshimar Yotún Flores","Off T"
"451","114, 54","Shot","Antoine Griezmann","Off T"
"452","88, 54","Shot","Paul Pogba","Off T"
"453","115, 34","Shot","Raphaël Varane","Off T"
"454","102, 51","Shot","Antoine Griezmann","Saved"
"455","97, 27","Shot","Édison Michael Flores Peralta","Off T"
"456","110, 33","Shot","José Paolo Guerrero González","Saved"
"457","112, 38","Shot","Kylian Mbappé Lottin","Saved"
"458","109, 29","Shot","Olivier Giroud","Blocked"
"459","119, 41","Shot","Kylian Mbappé Lottin","Goal"
"460","109, 27","Shot","Lucas Hernández Pi","Saved"
"461","112, 29","Shot","Lucas Hernández Pi","Off T"
"462","93, 39","Shot","Pedro Jesús Aquino Sánchez","Post"
"463","101, 30","Shot","Christian Alberto Cueva Bravo","Blocked"
"464","94, 37","Shot","André Martín Carrillo Díaz","Off T"
"465","105, 40","Shot","José Paolo Guerrero González","Wayward"
"466","98, 61","Shot","Luis Jan Piers Advíncula Castrillón","Off T"
