player_name,games,team_title,time,League,goals per 90 mins,npg per 90 mins,npxG per 90 mins,shots per 90 mins,xG per 90 mins,xGBuildup per 90 mins,xGChain per 90 mins
Mohamed Elneny,8,Arsenal,383,English Premier League,0.0,0.0,0.10537353473139183,1.6449086161879896,0.10537353473139183,0.44117582626349,0.5558770719925354
Wayne Hennessey,18,Crystal Palace,1576,English Premier League,0.0,0.0,0.0,0.0,0.0,0.06703127445629445,0.06703127445629445
Scott Dann,10,Crystal Palace,658,English Premier League,0.0,0.0,0.027409668185247114,0.8206686930091185,0.027409668185247114,0.08809442065746768,0.08809442065746768
Pape Souaré,1,Crystal Palace,1,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Puncheon,11,"Crystal Palace,Huddersfield",389,English Premier League,0.0,0.0,0.14221120721500147,1.3881748071979434,0.14221120721500147,0.07237709953346717,0.3157976181617433
Connor Wickham,6,Crystal Palace,56,English Premier League,0.0,0.0,0.5510911425309523,8.035714285714286,0.5510911425309523,0.22798062967402596,1.0589006935645426
Bakary Sako,4,Crystal Palace,19,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Speroni,1,Crystal Palace,90,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Mariappa,26,Watford,1921,English Premier League,0.0,0.0,0.06496056237532905,0.3279541905257678,0.06496056237532905,0.15989165495206514,0.16483865900353986
Martin Kelly,13,Crystal Palace,1109,English Premier League,0.0,0.0,0.06221695958466225,0.24346257889990985,0.06221695958466225,0.055195682592239864,0.05709558371807187
Cheikhou Kouyaté,31,Crystal Palace,1900,English Premier League,0.0,0.0,0.07736341888575178,0.9473684210526315,0.07736341888575178,0.13582415440560955,0.1917322873235925
Aaron Cresswell,20,West Ham,1586,English Premier League,0.0,0.0,0.023790381350854005,0.6242118537200505,0.023790381350854005,0.08975041087148394,0.11572479116548354
Andy Carroll,12,West Ham,438,English Premier League,0.0,0.0,0.4070491871911369,2.8767123287671232,0.4070491871911369,0.21981006539235376,0.5775591983676773
Victor Moses,2,Chelsea,24,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.40477070957422256
Pedro Obiang,24,West Ham,1112,English Premier League,0.0,0.0,0.045691655342393424,1.2140287769784173,0.045691655342393424,0.25228348250748767,0.33489543544262534
David de Gea,38,Manchester United,3420,English Premier League,0.0,0.0,0.0,0.0,0.0,0.08750068467404498,0.08750068467404498
Timothy Fosu-Mensah,12,Fulham,797,English Premier League,0.0,0.0,0.009083068302109221,0.45169385194479295,0.009083068302109221,0.25753299141281666,0.30459364929903704
Marcos Rojo,5,Manchester United,208,English Premier League,0.0,0.0,0.10184373420018417,2.5961538461538463,0.10184373420018417,0.30650676586307013,0.3208419673431378
Morgan Schneiderlin,14,Everton,831,English Premier League,0.0,0.0,0.010948204889301788,0.3249097472924188,0.010948204889301788,0.18919792900446947,0.21401970186657418
Matteo Darmian,6,Manchester United,447,English Premier League,0.0,0.0,0.005699763537053293,0.20134228187919462,0.005699763537053293,0.10751487074682377,0.11659135354445284
Sebastian Prödl,1,Watford,13,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Britos,3,Watford,185,English Premier League,0.0,0.0,0.0,0.0,0.0,0.04707006787931596,0.04707006787931596
John Stones,24,Manchester City,1763,English Premier League,0.0,0.0,0.008106013375397306,0.25524673851389673,0.008106013375397306,0.5227614245818577,0.527425786058756
Leighton Baines,6,Everton,375,English Premier League,0.0,0.0,0.018139588236808776,0.48,0.018139588236808776,0.18961926832795145,0.19427359387278556
James McCarthy,1,Everton,11,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oumar Niasse,18,"Cardiff,Everton",1014,English Premier League,0.0,0.0,0.30071666668108576,1.7751479289940828,0.30071666668108576,0.07451625595960391,0.4079974987736997
Nathaniel Clyne,18,"Bournemouth,Liverpool",1259,English Premier League,0.0,0.0,0.01892083513123635,0.35742652899126287,0.01892083513123635,0.21790892729051914,0.2381987967088262
Alberto Moreno,2,Liverpool,156,English Premier League,0.0,0.0,0.012426216585131792,0.5769230769230769,0.012426216585131792,0.2520199549885896,0.33005314377638006
Joe Hart,19,Burnley,1710,English Premier League,0.0,0.0,0.0,0.0,0.0,0.013652512607605834,0.014919425115773552
Pablo Zabaleta,26,West Ham,2099,English Premier League,0.0,0.0,0.006695953830047242,0.3001429252024774,0.006695953830047242,0.17625258514047976,0.18605455705605842
Nicolás Otamendi,18,Manchester City,1233,English Premier League,0.0,0.0,0.08578256642731437,1.094890510948905,0.08578256642731437,0.5805491744438662,0.5935841185605004
Willy Caballero,2,Chelsea,180,English Premier League,0.0,0.0,0.0,0.0,0.0,0.20797936618328097,0.20797936618328097
Antonio Valencia,6,Manchester United,465,English Premier League,0.0,0.0,0.007231764735714081,0.3870967741935484,0.007231764735714081,0.2663077993258353,0.33394324274793746
Marouane Fellaini,14,Manchester United,728,English Premier League,0.0,0.0,0.09072876734925167,0.8653846153846154,0.09072876734925167,0.15831796923181513,0.24668151456453313
Alex McCarthy,25,Southampton,2250,English Premier League,0.0,0.0,0.0,0.0,0.0,0.07057155307382344,0.07057155307382344
Luke Dreher,1,Crystal Palace,1,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Lloris,33,Tottenham,2970,English Premier League,0.0,0.0,0.0,0.0,0.0,0.10873018193877104,0.10873018193877104
Toby Alderweireld,34,Tottenham,2926,English Premier League,0.0,0.0,0.03036248954414038,0.5844155844155845,0.03036248954414038,0.269899019291618,0.2834541089476296
Danny Rose,26,Tottenham,1798,English Premier League,0.0,0.0,0.03991991655488764,0.7508342602892102,0.03991991655488764,0.1546907837443609,0.24480365033368187
Mousa Dembélé,10,Tottenham,518,English Premier League,0.0,0.0,0.005249606021122582,0.17374517374517376,0.005249606021122582,0.34075597826118176,0.3460055842823043
Michel Vorm,2,Tottenham,180,English Premier League,0.0,0.0,0.0,0.0,0.0,0.07608721405267715,0.07608721405267715
Ben Davies,27,Tottenham,1831,English Premier League,0.0,0.0,0.028246564516957375,0.6881485527034408,0.028246564516957375,0.38646056008047575,0.4652122583531214
Carlos Sánchez,7,West Ham,233,English Premier League,0.0,0.0,0.02206581516806916,1.1587982832618027,0.02206581516806916,0.21103078043767823,0.24602931136737055
Idrissa Gueye,33,Everton,2828,English Premier League,0.0,0.0,0.01892210055824996,0.6046676096181047,0.01892210055824996,0.3281230776197944,0.3597976122765447
Leandro Bacuna,11,Cardiff,543,English Premier League,0.0,0.0,0.012844329010386492,0.8287292817679559,0.012844329010386492,0.09644776953188754,0.11187370526938807
Cesc Fàbregas,6,Chelsea,167,English Premier League,0.0,0.0,0.03224961638093709,0.5389221556886228,0.03224961638093709,1.1794626206427279,1.2784875289141064
Asmir Begovic,24,Bournemouth,2160,English Premier League,0.0,0.0,0.0,0.0,0.0,0.10379255601825814,0.10379255601825814
Gary Cahill,2,Chelsea,22,English Premier League,0.0,0.0,0.0,0.0,0.0,0.061985610306940296,0.061985610306940296
Lukasz Fabianski,38,West Ham,3420,English Premier League,0.0,0.0,0.0,0.0,0.0,0.051135439866859665,0.05311046604459223
Federico Fernández,19,Newcastle United,1486,English Premier League,0.0,0.0,0.0050207056245524665,0.24226110363391656,0.0050207056245524665,0.16020548197755421,0.17701767299770502
Ki Sung-yueng,18,Newcastle United,1302,English Premier League,0.0,0.0,0.010519370303622313,0.5529953917050692,0.010519370303622313,0.21186546444000187,0.2223237744459565
Jermain Defoe,4,Bournemouth,13,English Premier League,0.0,0.0,0.9075875236437871,6.923076923076923,0.9075875236437871,0.0,0.9075875236437871
Jordan Pickford,38,Everton,3420,English Premier League,0.0,0.0,0.0,0.0,0.0,0.06146683480198445,0.06253305508902199
Kasper Schmeichel,38,Leicester,3420,English Premier League,0.0,0.0,0.002124080728543432,0.026315789473684213,0.002124080728543432,0.09184447896519773,0.09955436800067362
Danny Simpson,6,Leicester,288,English Premier League,0.0,0.0,0.0,0.0,0.0,0.09654975117882714,0.10445801308378579
Christian Fuchs,3,Leicester,204,English Premier League,0.0,0.0,0.026892706861390787,0.8823529411764706,0.026892706861390787,0.10699075701482157,0.19287617110154212
Shinji Okazaki,21,Leicester,249,English Premier League,0.0,0.0,0.10133024462195764,1.8072289156626506,0.10133024462195764,0.38595152154834156,0.4674889722906322
Daniel Amartey,9,Leicester,637,English Premier League,0.0,0.0,0.06620037625287915,0.565149136577708,0.06620037625287915,0.15503317769763048,0.165548870775679
Daryl Janmaat,18,Watford,1524,English Premier League,0.0,0.0,0.0274750592157714,0.6496062992125984,0.0274750592157714,0.14770242997892494,0.19865878219679586
Jamaal Lascelles,32,Newcastle United,2751,English Premier League,0.0,0.0,0.013072684385906195,0.35986913849509267,0.013072684385906195,0.10776023992876581,0.10805491827257718
Moussa Sissoko,29,Tottenham,2344,English Premier League,0.0,0.0,0.03670637315431603,0.575938566552901,0.03670637315431603,0.3392159724337885,0.41743909976677174
Ben Chilwell,36,Leicester,3240,English Premier League,0.0,0.0,0.027024203497502536,0.6111111111111112,0.027024203497502536,0.1961329269429876,0.2526764335214264
John Ruddy,1,Wolverhampton Wanderers,90,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Brady,16,Burnley,701,English Premier League,0.0,0.0,0.08714403262290142,1.5406562054208275,0.08714403262290142,0.06583016849363411,0.15292706540632944
Ben Foster,38,Watford,3420,English Premier League,0.0,0.0,0.0004393819621519038,0.026315789473684213,0.0004393819621519038,0.06208479561303792,0.06633967293524429
Fraser Forster,1,Southampton,90,English Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maya Yoshida,17,Southampton,1520,English Premier League,0.0,0.0,0.10823878492718857,0.8289473684210525,0.10823878492718857,0.17519915241159892,0.17865166450409511
Paul Dummett,26,Newcastle United,1976,English Premier League,0.0,0.0,0.012890418387217984,0.4099190283400809,0.012890418387217984,0.15769746107886345,0.1722631290524836
