player.name,xG,goal
Wahbi Khazri,1.1900000000000002,2
William Silva de Carvalho,0.03,0
William Troost-Ekong,0.09,0
Willian Borges da Silva,0.18,0
Woo-Young Jung,0.12,0
Xherdan Shaqiri,0.4999999999999999,1
Yannick Ferreira Carrasco,0.27,0
Yasir Gharsan Al Shahrani,0.28,0
Yerry Fernando Mina González,0.62,3
Yong Lee,0.03,0
Yoshinori Muto,0.16,0
Young-Gwon Kim,0.43,1
Younès Belhanda,0.49,0
Youri Tielemans,0.12,0
Youssef En-Nesyri,0.13,1
Youssouf Sabaly,0.1,0
Yuri Zhirkov,0.09,0
Yury Gazinskiy,0.1,1
Yussuf Yurary Poulsen,0.23,1
Yuto Nagatomo,0.12,0
Yūya Ōsako,1.02,1
Ángel Fabián Di María Hernández,0.29000000000000004,1
Édison Michael Flores Peralta,0.22,0
Éver Maximiliano David Banega,0.09,0
Óscar Esau Duarte Gaitán,0.19,0
İlkay Gündoğan,0.03,0
Łukasz Piszczek,0.06,0
Łukasz Teodorczyk,0.13,0
Šime Vrsaljko,0.23,0
