name,World Cup xG,World Cup goals,games,team_title,time,League,goals per 90 mins,npg per 90 mins,npxG per 90 mins,shots per 90 mins,xG per 90 mins,xGBuildup per 90 mins,xGChain per 90 mins
Emil Hallfredsson,0.04,0,9.0,"Frosinone,Udinese",525.0,Serie A,0.17142857142857146,0.17142857142857146,0.0056597394602639324,0.3428571428571429,0.0056597394602639324,0.04912726607705866,0.06578003982348103
Eric Dier,0.51,1,20.0,Tottenham,1519.0,English Premier League,0.17774851876234365,0.17774851876234365,0.08399267892467888,0.5332455562870311,0.08399267892467888,0.287435552261039,0.3145653000831055
Fabian Delph,0.1,0,11.0,Manchester City,723.0,English Premier League,0.0,0.0,0.008690077231818215,0.4979253112033195,0.008690077231818215,0.6008637548111285,0.6101689194000607
Fabian Schär,0.13,0,24.0,Newcastle United,2007.0,English Premier League,0.17937219730941706,0.17937219730941706,0.09710043359698202,1.1210762331838566,0.09710043359698202,0.20883440407569365,0.2534300250506589
Falcao,0.9000000000000001,2,33.0,Monaco,2570.0,Ligue 1,0.5252918287937743,0.42023346303501946,0.4204518441944328,3.29182879377432,0.5269243175105883,0.1298153849304128,0.514509251395581
Fedor Smolov,0.38,1,24.0,"FC Krasnodar,Lokomotiv Moscow",1675.0,Russian Premier League,0.37611940298507457,0.37611940298507457,0.3420608461737188,2.9014925373134335,0.3825890724283101,0.14603153781881975,0.592560700204835
Fernandinho,0.19,0,29.0,Manchester City,2397.0,English Premier League,0.03754693366708385,0.03754693366708385,0.06450585056986842,1.1264080100125156,0.06450585056986842,0.6602205613276015,0.725726832814039
Filip Kostic,0.62,0,34.0,Eintracht Frankfurt,2965.0,Bundesliga,0.18212478920741987,0.18212478920741987,0.13075836067846516,1.8516020236087691,0.13075836067846516,0.163107479927185,0.4891880373352697
Filipe Luis,0.03,0,27.0,Atletico Madrid,2043.0,La Liga,0.0881057268722467,0.0881057268722467,0.03770773713415415,0.4405286343612335,0.03770773713415415,0.2110945564665984,0.2344834993261073
Gabriel Jesus,1.4500000000000002,0,29.0,Manchester City,993.0,English Premier League,0.6344410876132931,0.5438066465256798,1.074951256870143,3.897280966767372,1.1439393690345512,0.4523466030006323,1.5038451104455846
Gaku Shibasaki,0.06,0,7.0,Getafe,394.0,La Liga,0.0,0.0,0.032179214859258405,1.370558375634518,0.032179214859258405,0.01782358652406235,0.06407061069352826
Gen Shoji,0.04,0,18.0,Toulouse,1620.0,Ligue 1,0.0,0.0,0.0015386061277240515,0.1111111111111111,0.0015386061277240515,0.1359038750330607,0.15809702035039666
Genki Haraguchi,0.15,1,28.0,Hannover 96,2128.0,Bundesliga,0.0,0.0,0.09924687951964263,1.3533834586466165,0.09924687951964263,0.1332965458890325,0.32187415566995625
Gerard Piqué,1.31,1,35.0,Barcelona,3150.0,La Liga,0.11428571428571427,0.11428571428571427,0.11792391602482115,0.5142857142857142,0.11792391602482115,0.3906010113656522,0.4181104529116835
Giménez,0.45,1,21.0,Atletico Madrid,1775.0,La Liga,0.0,0.0,0.0654830846358353,0.7605633802816899,0.0654830846358353,0.18068888849565684,0.20351971411998845
Gonzalo Higuaín,0.22,0,14.0,Chelsea,1100.0,English Premier League,0.40909090909090906,0.40909090909090906,0.44011905227195136,3.763636363636364,0.44011905227195136,0.1523155265572396,0.6935314186594703
Gonzalo Higuaín,0.22,0,15.0,AC Milan,1282.0,Serie A,0.421216848673947,0.421216848673947,0.4394496320608811,3.8611544461778466,0.4928949468023784,0.23345266631550146,0.7644409618330263
Gonçalo Guedes,0.41,0,25.0,Valencia,1472.0,La Liga,0.30570652173913043,0.30570652173913043,0.12274040472972128,2.139945652173913,0.12274040472972128,0.2423536228572788,0.44237825290031696
Granit Xhaka,0.15000000000000002,1,29.0,Arsenal,2511.0,English Premier League,0.14336917562724014,0.14336917562724014,0.0674244047453006,1.0394265232974909,0.0674244047453006,0.4509219113323423,0.5463696603653251
Grzegorz Krychowiak,0.21,1,27.0,Lokomotiv Moscow,2406.0,Russian Premier League,0.07481296758104737,0.07481296758104737,0.15394182953556207,1.795511221945137,0.15394182953556207,0.245302152864059,0.31612168635216137
Gylfi Sigurdsson,0.6100000000000001,1,38.0,Everton,3150.0,English Premier League,0.37142857142857133,0.3142857142857143,0.23750422990747866,2.4571428571428573,0.3462383770516941,0.14727540684065646,0.4476304063307388
Harry Kane,2.0,7,28.0,Tottenham,2437.0,English Premier League,0.6278210915059499,0.480098481739844,0.4829700562795705,3.7669265490357,0.5954105463712049,0.1787873551518544,0.6957081444125819
Harry Maguire,1.17,1,31.0,Leicester,2599.0,English Premier League,0.10388611004232397,0.10388611004232397,0.06442808004317603,1.0388611004232398,0.06442808004317603,0.1898366192921211,0.2092237406700173
Hiroki Sakai,0.12,0,27.0,Marseille,2372.0,Ligue 1,0.03794266441821248,0.03794266441821248,0.010029044179764105,0.22765598650927485,0.010029044179764105,0.2871889156378919,0.3308215750221157
Hördur Bjorgvin Magnusson,0.21,0,23.0,CSKA Moscow,1814.0,Russian Premier League,0.09922822491730983,0.09922822491730983,0.1025430339541545,1.0418963616317531,0.1025430339541545,0.3938040124147703,0.4583125062032204
Iago Aspas,0.7299999999999999,1,27.0,Celta Vigo,2268.0,La Liga,0.7936507936507936,0.5952380952380952,0.3473772829960263,2.7777777777777777,0.4948530006148512,0.232723551684074,0.7370585472219521
Idrissa Gueye,0.06,0,33.0,Everton,2828.0,English Premier League,0.0,0.0,0.01892210055824996,0.6046676096181047,0.01892210055824996,0.3281230776197944,0.3597976122765447
Ilkay Gündogan,0.03,0,31.0,Manchester City,2133.0,English Premier League,0.2531645569620253,0.2531645569620253,0.1778057291475027,1.8143459915611813,0.1778057291475027,0.6645429146943715,0.8044536770144596
Ilya Kutepov,0.43,0,9.0,Spartak Moscow,810.0,Russian Premier League,0.0,0.0,0.04751323287685712,0.33333333333333337,0.04751323287685712,0.43160273879766464,0.43160273879766464
Isco,0.8600000000000001,1,27.0,Real Madrid,1186.0,La Liga,0.22765598650927485,0.22765598650927485,0.4025004026409346,1.897133220910624,0.4025004026409346,0.3820900721506893,0.8577576006996692
Ismaila Sarr,0.25,0,35.0,Rennes,2809.0,Ligue 1,0.25631897472410115,0.2242791028835885,0.1662350086320885,1.7301530793876825,0.19058199325525368,0.1778421295696028,0.5003903640965288
Ivan Perisic,2.0000000000000004,3,34.0,Inter,2714.0,Serie A,0.26529108327192336,0.19896831245394253,0.2949309231838323,3.282977155490052,0.34542104730337264,0.2496674008167835,0.6688647877284948
Ivan Rakitic,0.9700000000000002,3,34.0,Barcelona,2641.0,La Liga,0.10223400227186673,0.10223400227186673,0.09161870205822158,1.226808027262401,0.09161870205822158,0.6159564203856706,0.7205493452534537
Ja-Cheol Koo,0.06,0,26.0,Augsburg,1632.0,Bundesliga,0.11029411764705882,0.11029411764705882,0.19504398097256748,1.4338235294117645,0.19504398097256748,0.16295757439151845,0.38778149741975704
James Rodríguez,0.16,0,20.0,Bayern Munich,1149.0,Bundesliga,0.5483028720626633,0.5483028720626633,0.433176622553376,2.8198433420365534,0.433176622553376,0.6522647298716845,1.2556834079266843
Jamie Vardy,0.32,0,34.0,Leicester,2740.0,English Premier League,0.5912408759124088,0.4598540145985402,0.5028875255617348,2.594890510948905,0.6278970108306321,0.06259576245516972,0.6826389102523559
Jan Bednarek,0.13,1,25.0,Southampton,2150.0,English Premier League,0.0,0.0,0.03529521891370762,0.20930232558139533,0.03529521891370762,0.15267005804926154,0.1740851001207565
Jan Vertonghen,0.11,1,22.0,Tottenham,1925.0,English Premier League,0.04675324675324676,0.04675324675324676,0.04721969326401685,0.7012987012987013,0.04721969326401685,0.3565763066341351,0.369351026183599
Jefferson Farfán,0.33,0,20.0,Lokomotiv Moscow,1509.0,Russian Premier League,0.4771371769383698,0.4771371769383698,0.4106993482227827,2.9224652087475147,0.4106993482227827,0.12870914634191252,0.4224326658927304
Jefferson Lerma,0.09,0,30.0,Bournemouth,2527.0,English Premier League,0.07123070834982193,0.07123070834982193,0.03867161561940256,1.1040759794222397,0.03867161561940256,0.24330795732620544,0.2781609046672072
Jens Stryger Larsen,0.1,0,36.0,Udinese,3240.0,Serie A,0.027777777777777776,0.027777777777777776,0.05355518492352632,0.4444444444444444,0.05355518492352632,0.19715021568764413,0.2886977224455526
Jesse Lingard,0.9000000000000001,1,27.0,Manchester United,1677.0,English Premier League,0.2146690518783542,0.16100178890876565,0.21912297040677245,1.7173524150268336,0.2599728217744976,0.2798518586457309,0.5796218554411009
Johan Mojica,0.04,0,1.0,Girona,14.0,La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johann Berg Gudmundsson,0.09,0,29.0,Burnley,1732.0,English Premier League,0.1558891454965358,0.1558891454965358,0.13580324277754952,1.7147806004618935,0.13580324277754952,0.16080914805137808,0.3751077710523961
John Guidetti,0.06,0,22.0,Alaves,612.0,La Liga,0.29411764705882354,0.29411764705882354,0.2352289296686649,1.4705882352941178,0.2352289296686649,0.12206871336435572,0.4558244961149553
John Stones,0.94,2,24.0,Manchester City,1763.0,English Premier League,0.0,0.0,0.008106013375397306,0.25524673851389673,0.008106013375397306,0.5227614245818577,0.527425786058756
Jordan Henderson,0.3500000000000001,0,32.0,Liverpool,1979.0,English Premier League,0.04547751389590703,0.04547751389590703,0.06881492652898788,0.7276402223345124,0.06881492652898788,0.5266045239961558,0.6603495574764768
Jordi Alba,0.16,0,36.0,Barcelona,2985.0,La Liga,0.06030150753768845,0.06030150753768845,0.06782761289171839,0.4221105527638191,0.06782761289171839,0.475736407778371,0.6660697498363466
Joshua Kimmich,0.22,0,34.0,Bayern Munich,3060.0,Bundesliga,0.05882352941176471,0.05882352941176471,0.06788437254726885,0.7352941176470589,0.06788437254726885,0.5903182766016789,0.8102472547222588
Josip Drmic,0.3200000000000001,1,5.0,Borussia M.Gladbach,217.0,Bundesliga,0.8294930875576036,0.8294930875576036,0.580514682637107,2.9032258064516134,0.580514682637107,0.35827917162723805,0.9455321040777018
José Fonte,0.41,0,36.0,Lille,3110.0,Ligue 1,0.08681672025723472,0.08681672025723472,0.11361375272010492,0.9839228295819936,0.11361375272010492,0.33096637260588035,0.35674439564682664
Juan Cuadrado,0.46,2,18.0,Juventus,1218.0,Serie A,0.07389162561576354,0.07389162561576354,0.13129211370397376,1.2561576354679804,0.13129211370397376,0.2531355116608107,0.4903259078783942
Julian Brandt,0.15,0,33.0,Bayer Leverkusen,2684.0,Bundesliga,0.2347242921013413,0.2347242921013413,0.2766496533161548,2.179582712369597,0.2766496533161548,0.433901268721665,0.8778863330267582
Julian Draxler,0.44,0,31.0,Paris Saint Germain,2047.0,Ligue 1,0.13190034196384953,0.13190034196384953,0.1851586343444844,1.362970200293112,0.1851586343444844,0.580836907238438,0.8366443093048983
Jérôme Boateng,0.09,0,20.0,Bayern Munich,1695.0,Bundesliga,0.0,0.0,0.03135758359809365,0.7433628318584071,0.03135758359809365,0.5654614924461442,0.5694881124438438
Kamil Glik,0.13,0,33.0,Monaco,2970.0,Ligue 1,0.030303030303030307,0.030303030303030307,0.03935123709115115,0.4848484848484849,0.03935123709115115,0.1429360494243376,0.1433500127133095
Keita,0.06,0,24.0,Inter,869.0,Serie A,0.5178365937859609,0.5178365937859609,0.4504376206808522,3.1070195627157653,0.4504376206808522,0.249756902576316,0.8328939296982505
Kelechi Iheanacho,0.12,0,30.0,Leicester,911.0,English Premier League,0.09879253567508232,0.09879253567508232,0.25487026371446186,1.7782656421514818,0.25487026371446186,0.19658461714042788,0.522600760934905
Kenneth Omeruo,0.13,0,28.0,Leganes,2440.0,La Liga,0.0,0.0,0.0029782129711181412,0.11065573770491803,0.0029782129711181412,0.05695872208042468,0.05733575142126102
Kevin De Bruyne,0.52,1,19.0,Manchester City,965.0,English Premier League,0.1865284974093264,0.1865284974093264,0.13749399183829525,2.89119170984456,0.13749399183829525,0.7910514800891358,1.1380288907437746
Ki Sung-yueng,0.23,0,18.0,Newcastle United,1302.0,English Premier League,0.0,0.0,0.010519370303622313,0.5529953917050692,0.010519370303622313,0.21186546444000187,0.2223237744459565
Kieran Trippier,0.22,2,27.0,Tottenham,2278.0,English Premier League,0.03950834064969271,0.03950834064969271,0.018251288242317587,0.3160667251975417,0.018251288242317587,0.34422322735680994,0.4174458208028636
Koke,0.17,0,30.0,Atletico Madrid,2586.0,La Liga,0.10440835266821344,0.10440835266821344,0.052099181555228816,0.7308584686774942,0.052099181555228816,0.4000312656276533,0.5040383448915042
